CODIGO;NOMBRE;DESCRIPCION;PRECIO;STOCK
00238;ACEITE DE OLIVA EXTRAVIRGEN 1500 CC;ACEITE DE OLIVA EXTRAVIRGEN 1500 CC;110,11;0
00436;ACEITE NATURA X 900CC;ACEITE NATURA X 900CC;38,36;0
00214;ACEITUNA DESCAROZADA DOY PACK 175 GR;ACEITUNA DESCAROZADA DOY PACK 175 GR;19,23;0
00428;ACEITUNA DESCAROZADAS X 4 KG;ACEITUNA DESCAROZADAS X 4 KG;420,01;0
00239;ACEITUNA EN BANDEJA;ACEITUNA EN BANDEJA;0,00;0
00195;ACEITUNA FILETEADA X 4KG;ACEITUNA FILETEADA X 4KG;370,98;0
00194;ACEITUNA NEGRA X 5 KG;ACEITUNA NEGRA X 5 KG;520,00;0
00192;ACEITUNA N°1 X 5KG;ACEITUNA N°1 X 5KG;377,99;0
00193;ACEITUNA RELLENAS X 5 kg;ACEITUNA RELLENAS X 5 kg;487,87;0
00427;ACEITUNA X 5KG 00;ACEITUNA X 5KG 00;0,00;0
00434;ADEREZO PARA CARNES X 275CC;ADEREZO PARA CARNES X 275CC;22,10;0
00413;ADEREZO PARA CARNES X 500CC;ADEREZO PARA CARNES X 500CC;31,20;0
00358;ANCHOA;ANCHOA;0,00;0
00086;ARROLADO DE POLLO FELA;ARROLADO DE POLLO FELA;167,63;0
00455;BARRA CREMONI;BARRA CREMONI;94,50;0
00430;BASTON AHUMADO PORCOMAGRO;BASTON AHUMADO PORCOMAGRO;202,02;0
00089;BONDIOLA PALADINI A/V;BONDIOLA PALADINI A/V;361,01;0
00101;BONDIOLA PIAMONTESA A/V;BONDIOLA PIAMONTESA A/V;287,57;0
00154;CAPELLETTIS X 1Kg QUIERO!;CAPELLETTIS X 1Kg QUIERO!;50,13;0
00141;CAPELLETTIS X 500GR QUIERO!;CAPELLETTIS X 500GR QUIERO!;30,70;0
00420;COLCHOM DE FRUTAS MANFREY;COLCHOM DE FRUTAS MANFREY;0,00;0
00172;COMBO DON ALEJANDRO;COMBO DON ALEJANDRO;43,21;0
00445;COMBO LOREAL & ELVIVE;COMBO LOREAL & ELVIVE;1.084,52;0
00444;COMBO MAYBELLINE;COMBO MAYBELLINE;1.757,97;0
00443;COMBO NIVEA;COMBO NIVEA;3.661,76;0
00048;CREMA DE LECHE CREMIGAL;CREMA DE LECHE CREMIGAL;86,90;0
00011;CREMA X 190GR;CREMA X 190GR;23,70;0
00220;CREMOSO;CREMOSO;87,11;0
00012;CREMOSO CANTONI;CREMOSO CANTONI;97,51;0
00021;CREMOSO CREMIGAL;CREMOSO CREMIGAL;99,58;0
00028;CREMOSO PROCESADO VICENTIA;CREMOSO PROCESADO VICENTIA;65,65;0
00441;DULCE;DULCE;16,00;0
